"ClaimID","ClaimSize"
"CLM58143","lessthan100K"
"CLM57775","lessthan100K"
"CLM61172","200KandAbove"
"CLM65109","lessthan100K"
"CLM55214","100K-lessthan200K"
"CLM58865","lessthan100K"
"CLM56063","lessthan100K"
"CLM63003","100K-lessthan200K"
"CLM54503","200KandAbove"
"CLM67454","100K-lessthan200K"
"CLM65223","lessthan100K"
"CLM63731","lessthan100K"
"CLM62773","lessthan100K"
"CLM58091","100K-lessthan200K"
"CLM61092","100K-lessthan200K"
"CLM67659","lessthan100K"
"CLM62079","lessthan100K"
"CLM66992","100K-lessthan200K"
"CLM56950","100K-lessthan200K"
"CLM64487","lessthan100K"
"CLM56046","lessthan100K"
"CLM62316","lessthan100K"
"CLM60163","lessthan100K"
"CLM70040","lessthan100K"
"CLM61748","lessthan100K"
"CLM68383","lessthan100K"
"CLM68167","lessthan100K"
"CLM56219","200KandAbove"
"CLM57119","100K-lessthan200K"
"CLM69758","lessthan100K"
"CLM62799","lessthan100K"
"CLM68837","lessthan100K"
"CLM59878","100K-lessthan200K"
"CLM58741","200KandAbove"
"CLM63543","lessthan100K"
"CLM53899","lessthan100K"
"CLM61899","100K-lessthan200K"
"CLM55542","lessthan100K"
"CLM69306","200KandAbove"
"CLM62439","100K-lessthan200K"
"CLM60796","lessthan100K"
"CLM58657","200KandAbove"
"CLM67741","200KandAbove"
"CLM57924","100K-lessthan200K"
"CLM56482","lessthan100K"
"CLM54245","lessthan100K"
"CLM54274","lessthan100K"
"CLM60166","100K-lessthan200K"
"CLM55810","200KandAbove"
"CLM55112","100K-lessthan200K"
"CLM63820","lessthan100K"
"CLM51907","lessthan100K"
"CLM64322","lessthan100K"
"CLM57689","lessthan100K"
"CLM58773","lessthan100K"
"CLM66603","200KandAbove"
"CLM68462","lessthan100K"
"CLM56369","200KandAbove"
"CLM69263","100K-lessthan200K"
"CLM64841","200KandAbove"
"CLM64042","100K-lessthan200K"
"CLM52004","lessthan100K"
"CLM58509","lessthan100K"
"CLM60078","lessthan100K"
"CLM61643","lessthan100K"
"CLM64264","200KandAbove"
"CLM68393","200KandAbove"
"CLM62745","lessthan100K"
"CLM59137","100K-lessthan200K"
"CLM61295","100K-lessthan200K"
"CLM52111","lessthan100K"
"CLM55954","lessthan100K"
"CLM58542","100K-lessthan200K"
"CLM54755","lessthan100K"
"CLM66795","100K-lessthan200K"
"CLM53903","200KandAbove"
"CLM66253","200KandAbove"
"CLM61381","100K-lessthan200K"
"CLM63573","lessthan100K"
"CLM54260","200KandAbove"
"CLM63016","lessthan100K"
"CLM56919","200KandAbove"
"CLM64751","100K-lessthan200K"
"CLM58571","200KandAbove"
"CLM69395","100K-lessthan200K"
"CLM69357","200KandAbove"
"CLM64789","lessthan100K"
"CLM55881","100K-lessthan200K"
"CLM55208","lessthan100K"
"CLM62251","200KandAbove"
"CLM56075","200KandAbove"
"CLM61074","lessthan100K"
"CLM65896","lessthan100K"
"CLM54188","lessthan100K"
"CLM58670","100K-lessthan200K"
"CLM59944","lessthan100K"
"CLM67463","100K-lessthan200K"
"CLM68555","lessthan100K"
"CLM67725","lessthan100K"
"CLM63784","lessthan100K"
"CLM69016","lessthan100K"
"CLM60792","200KandAbove"
"CLM61930","200KandAbove"
"CLM57376","200KandAbove"
"CLM57584","200KandAbove"
"CLM51380","200KandAbove"
"CLM60531","lessthan100K"
"CLM67509","100K-lessthan200K"
"CLM51120","lessthan100K"
"CLM52366","100K-lessthan200K"
"CLM54112","lessthan100K"
"CLM65598","lessthan100K"
"CLM64931","200KandAbove"
"CLM69415","lessthan100K"
"CLM59838","lessthan100K"
"CLM52410","100K-lessthan200K"
"CLM63292","lessthan100K"
"CLM65371","lessthan100K"
"CLM53598","lessthan100K"
"CLM58512","200KandAbove"
"CLM55262","lessthan100K"
"CLM52098","100K-lessthan200K"
"CLM58498","100K-lessthan200K"
"CLM52230","lessthan100K"
"CLM55278","200KandAbove"
"CLM52035","100K-lessthan200K"
"CLM63692","lessthan100K"
"CLM56638","200KandAbove"
"CLM52907","100K-lessthan200K"
"CLM52362","200KandAbove"
"CLM67667","200KandAbove"
"CLM65278","lessthan100K"
"CLM66457","lessthan100K"
"CLM69589","lessthan100K"
"CLM52961","100K-lessthan200K"
"CLM52875","lessthan100K"
"CLM66118","lessthan100K"
"CLM65847","lessthan100K"
"CLM51179","lessthan100K"
"CLM65741","lessthan100K"
"CLM64801","200KandAbove"
"CLM62922","lessthan100K"
"CLM60098","100K-lessthan200K"
"CLM53964","lessthan100K"
"CLM51156","lessthan100K"
"CLM59559","100K-lessthan200K"
"CLM60312","lessthan100K"
"CLM58369","200KandAbove"
"CLM59788","lessthan100K"
"CLM64489","lessthan100K"
"CLM52046","lessthan100K"
"CLM57709","100K-lessthan200K"
"CLM66180","200KandAbove"
"CLM66801","200KandAbove"
"CLM55495","lessthan100K"
"CLM57693","100K-lessthan200K"
"CLM67199","200KandAbove"
"CLM67139","200KandAbove"
"CLM56594","lessthan100K"
"CLM53780","lessthan100K"
"CLM64306","100K-lessthan200K"
"CLM52962","lessthan100K"
"CLM51638","100K-lessthan200K"
"CLM69886","100K-lessthan200K"
"CLM51659","lessthan100K"
"CLM57394","lessthan100K"
"CLM68290","100K-lessthan200K"
"CLM62662","100K-lessthan200K"
"CLM56409","200KandAbove"
"CLM64938","lessthan100K"
"CLM66756","200KandAbove"
"CLM56937","100K-lessthan200K"
"CLM60304","200KandAbove"
"CLM64172","200KandAbove"
"CLM63115","100K-lessthan200K"
"CLM63161","lessthan100K"
"CLM69466","lessthan100K"
"CLM58832","lessthan100K"
"CLM53255","lessthan100K"
"CLM60932","100K-lessthan200K"
"CLM55250","lessthan100K"
"CLM60183","lessthan100K"
"CLM57989","200KandAbove"
"CLM69563","lessthan100K"
"CLM58330","lessthan100K"
"CLM55327","lessthan100K"
"CLM62765","100K-lessthan200K"
"CLM53577","100K-lessthan200K"
"CLM69259","100K-lessthan200K"
"CLM60720","lessthan100K"
"CLM54078","lessthan100K"
"CLM62735","lessthan100K"
"CLM69603","100K-lessthan200K"
"CLM63618","lessthan100K"
"CLM58904","lessthan100K"
"CLM57100","lessthan100K"
"CLM66757","100K-lessthan200K"
"CLM53713","100K-lessthan200K"
"CLM54637","lessthan100K"
"CLM67914","100K-lessthan200K"
"CLM56812","lessthan100K"
"CLM57852","lessthan100K"
"CLM65784","lessthan100K"
"CLM54647","lessthan100K"
"CLM51335","200KandAbove"
"CLM58667","100K-lessthan200K"
"CLM60110","lessthan100K"
"CLM58954","lessthan100K"
"CLM57463","lessthan100K"
"CLM67335","lessthan100K"
"CLM59579","lessthan100K"
"CLM61061","lessthan100K"
"CLM69167","100K-lessthan200K"
"CLM65599","200KandAbove"
"CLM54937","200KandAbove"
"CLM56820","lessthan100K"
"CLM69304","100K-lessthan200K"
"CLM62022","100K-lessthan200K"
"CLM65336","100K-lessthan200K"
"CLM58023","200KandAbove"
"CLM65492","lessthan100K"
"CLM61130","100K-lessthan200K"
"CLM68218","200KandAbove"
"CLM54491","200KandAbove"
"CLM56316","lessthan100K"
"CLM52789","100K-lessthan200K"
"CLM54965","200KandAbove"
"CLM69402","lessthan100K"
"CLM56580","200KandAbove"
"CLM64671","100K-lessthan200K"
"CLM65795","lessthan100K"
"CLM52985","lessthan100K"
"CLM55512","lessthan100K"
"CLM56094","200KandAbove"
"CLM52903","100K-lessthan200K"
"CLM53220","100K-lessthan200K"
"CLM69660","lessthan100K"
"CLM69561","100K-lessthan200K"
"CLM53580","lessthan100K"
"CLM68039","100K-lessthan200K"
"CLM61847","100K-lessthan200K"
"CLM58442","lessthan100K"
"CLM59465","100K-lessthan200K"
"CLM64295","100K-lessthan200K"
"CLM52553","200KandAbove"
"CLM57385","100K-lessthan200K"
"CLM63809","100K-lessthan200K"
"CLM56963","200KandAbove"
"CLM66644","200KandAbove"
"CLM55048","100K-lessthan200K"
"CLM60367","100K-lessthan200K"
"CLM56193","100K-lessthan200K"
"CLM54612","200KandAbove"
"CLM68879","lessthan100K"
"CLM57051","200KandAbove"
"CLM59998","100K-lessthan200K"
"CLM51527","100K-lessthan200K"
"CLM61294","200KandAbove"
"CLM63114","100K-lessthan200K"
"CLM62211","lessthan100K"
"CLM57053","200KandAbove"
"CLM67753","100K-lessthan200K"
"CLM70048","100K-lessthan200K"
"CLM56694","lessthan100K"
"CLM58297","200KandAbove"
"CLM54017","100K-lessthan200K"
"CLM67211","lessthan100K"
"CLM68912","lessthan100K"
"CLM61593","200KandAbove"
"CLM57193","200KandAbove"
"CLM69727","lessthan100K"
"CLM55413","100K-lessthan200K"
"CLM62511","200KandAbove"
"CLM53033","100K-lessthan200K"
"CLM60150","lessthan100K"
"CLM52869","lessthan100K"
"CLM54028","lessthan100K"
"CLM69836","200KandAbove"
"CLM61967","lessthan100K"
"CLM64743","lessthan100K"
"CLM54109","100K-lessthan200K"
"CLM67272","lessthan100K"
"CLM69900","lessthan100K"
"CLM65279","lessthan100K"
"CLM53762","100K-lessthan200K"
"CLM57723","lessthan100K"
"CLM63642","lessthan100K"
"CLM60834","lessthan100K"
"CLM57567","200KandAbove"
"CLM55516","lessthan100K"
"CLM52093","200KandAbove"
"CLM55442","lessthan100K"
"CLM67705","200KandAbove"
"CLM66236","100K-lessthan200K"
"CLM65028","lessthan100K"
"CLM53907","100K-lessthan200K"
"CLM53341","200KandAbove"
"CLM69289","lessthan100K"
"CLM59183","100K-lessthan200K"
"CLM59706","lessthan100K"
"CLM54101","lessthan100K"
"CLM61973","lessthan100K"
"CLM56080","100K-lessthan200K"
"CLM55316","100K-lessthan200K"
"CLM63965","lessthan100K"
"CLM56305","100K-lessthan200K"
"CLM66199","200KandAbove"
"CLM52762","200KandAbove"
"CLM66415","lessthan100K"
"CLM59015","lessthan100K"
"CLM65173","lessthan100K"
"CLM63420","200KandAbove"
"CLM59334","lessthan100K"
"CLM62758","100K-lessthan200K"
"CLM51009","lessthan100K"
"CLM55073","100K-lessthan200K"
"CLM64213","100K-lessthan200K"
"CLM55033","100K-lessthan200K"
"CLM66255","lessthan100K"
"CLM56768","100K-lessthan200K"
"CLM63889","lessthan100K"
"CLM68478","lessthan100K"
"CLM53170","lessthan100K"
"CLM53393","lessthan100K"
"CLM63708","lessthan100K"
"CLM59037","200KandAbove"
"CLM66632","lessthan100K"
"CLM69198","100K-lessthan200K"
"CLM52321","200KandAbove"
"CLM59613","100K-lessthan200K"
"CLM64141","lessthan100K"
"CLM52629","100K-lessthan200K"
"CLM69596","lessthan100K"
"CLM55740","100K-lessthan200K"
"CLM51928","lessthan100K"
"CLM63852","lessthan100K"
"CLM65735","lessthan100K"
"CLM57621","lessthan100K"
"CLM57861","lessthan100K"
"CLM56375","100K-lessthan200K"
"CLM52498","200KandAbove"
"CLM57841","100K-lessthan200K"
"CLM54333","100K-lessthan200K"
"CLM61034","100K-lessthan200K"
"CLM60432","lessthan100K"
"CLM68687","100K-lessthan200K"
"CLM57388","lessthan100K"
"CLM59697","lessthan100K"
"CLM52545","200KandAbove"
"CLM67094","200KandAbove"
"CLM58403","200KandAbove"
"CLM64768","lessthan100K"
"CLM54213","lessthan100K"
"CLM59508","lessthan100K"
"CLM65408","lessthan100K"
"CLM52172","lessthan100K"
"CLM66246","lessthan100K"
"CLM56633","200KandAbove"
"CLM57821","lessthan100K"
"CLM56837","100K-lessthan200K"
"CLM51699","100K-lessthan200K"
"CLM60702","lessthan100K"
"CLM63697","200KandAbove"
"CLM67888","lessthan100K"
"CLM51478","100K-lessthan200K"
"CLM69491","lessthan100K"
"CLM56663","200KandAbove"
"CLM68556","100K-lessthan200K"
"CLM63853","200KandAbove"
"CLM59356","200KandAbove"
"CLM66260","100K-lessthan200K"
"CLM51739","lessthan100K"
"CLM64812","lessthan100K"
"CLM57517","100K-lessthan200K"
"CLM66496","100K-lessthan200K"
"CLM61007","200KandAbove"
"CLM56130","lessthan100K"
"CLM65965","lessthan100K"
"CLM52713","lessthan100K"
"CLM66545","lessthan100K"
"CLM56172","lessthan100K"
"CLM65068","200KandAbove"
"CLM69009","lessthan100K"
"CLM52522","200KandAbove"
"CLM66957","200KandAbove"
"CLM65982","lessthan100K"
"CLM58193","lessthan100K"
"CLM57118","100K-lessthan200K"
"CLM54827","200KandAbove"
"CLM61631","100K-lessthan200K"
"CLM67580","200KandAbove"
"CLM60890","lessthan100K"
"CLM61958","lessthan100K"
"CLM63428","100K-lessthan200K"
"CLM60891","200KandAbove"
"CLM60517","lessthan100K"
"CLM51302","200KandAbove"
"CLM51891","200KandAbove"
"CLM68344","lessthan100K"
"CLM65356","100K-lessthan200K"
"CLM54753","lessthan100K"
"CLM63134","lessthan100K"
"CLM63198","lessthan100K"
"CLM58375","lessthan100K"
"CLM66155","100K-lessthan200K"
"CLM61205","lessthan100K"
"CLM67512","lessthan100K"
"CLM61321","lessthan100K"
"CLM67900","100K-lessthan200K"
"CLM61957","100K-lessthan200K"
"CLM58898","100K-lessthan200K"
"CLM68709","lessthan100K"
"CLM64223","lessthan100K"
"CLM58707","100K-lessthan200K"
"CLM51343","200KandAbove"
"CLM61567","100K-lessthan200K"
"CLM60137","200KandAbove"
"CLM67382","100K-lessthan200K"
"CLM66154","200KandAbove"
"CLM66922","lessthan100K"
"CLM57858","lessthan100K"
"CLM67290","lessthan100K"
"CLM53821","200KandAbove"
"CLM56253","lessthan100K"
"CLM63425","lessthan100K"
"CLM69214","lessthan100K"
"CLM61859","100K-lessthan200K"
"CLM60812","200KandAbove"
"CLM52133","lessthan100K"
"CLM69055","lessthan100K"
"CLM53241","lessthan100K"
"CLM52647","100K-lessthan200K"
"CLM67407","200KandAbove"
"CLM60470","lessthan100K"
"CLM57287","lessthan100K"
"CLM67657","lessthan100K"
"CLM51596","100K-lessthan200K"
"CLM55418","100K-lessthan200K"
"CLM69961","200KandAbove"
"CLM55205","lessthan100K"
"CLM56931","100K-lessthan200K"
"CLM54240","200KandAbove"
"CLM65922","lessthan100K"
"CLM53724","200KandAbove"
"CLM66316","lessthan100K"
"CLM57162","lessthan100K"
"CLM57965","lessthan100K"
"CLM62722","100K-lessthan200K"
"CLM52799","100K-lessthan200K"
"CLM51410","lessthan100K"
"CLM69481","lessthan100K"
"CLM61867","200KandAbove"
"CLM65549","200KandAbove"
"CLM67596","100K-lessthan200K"
"CLM65046","lessthan100K"
"CLM69219","200KandAbove"
"CLM51822","lessthan100K"
"CLM67806","100K-lessthan200K"
"CLM67101","100K-lessthan200K"
"CLM65424","lessthan100K"
"CLM58009","lessthan100K"
"CLM51784","100K-lessthan200K"
"CLM57778","lessthan100K"
"CLM56091","100K-lessthan200K"
"CLM66816","lessthan100K"
"CLM57739","200KandAbove"
"CLM56662","100K-lessthan200K"
"CLM65115","200KandAbove"
"CLM66708","lessthan100K"
"CLM59514","lessthan100K"
"CLM64564","lessthan100K"
"CLM52935","200KandAbove"
"CLM55090","lessthan100K"
"CLM68732","200KandAbove"
"CLM64978","200KandAbove"
"CLM66221","200KandAbove"
"CLM58764","100K-lessthan200K"
"CLM62036","200KandAbove"
"CLM65844","lessthan100K"
"CLM67508","lessthan100K"
"CLM58157","lessthan100K"
"CLM52679","lessthan100K"
"CLM62626","200KandAbove"
"CLM64852","200KandAbove"
"CLM52586","100K-lessthan200K"
"CLM56583","100K-lessthan200K"
"CLM62415","200KandAbove"
"CLM64985","100K-lessthan200K"
"CLM68032","lessthan100K"
"CLM59836","lessthan100K"
"CLM61532","lessthan100K"
"CLM64679","100K-lessthan200K"
"CLM69641","lessthan100K"
"CLM67881","200KandAbove"
"CLM52047","lessthan100K"
"CLM60337","100K-lessthan200K"
"CLM57508","100K-lessthan200K"
"CLM66697","lessthan100K"
"CLM65970","lessthan100K"
"CLM53178","lessthan100K"
"CLM64228","lessthan100K"
"CLM55367","lessthan100K"
"CLM52392","100K-lessthan200K"
"CLM68363","100K-lessthan200K"
"CLM53917","100K-lessthan200K"
"CLM63007","100K-lessthan200K"
"CLM54220","100K-lessthan200K"
"CLM51373","lessthan100K"
"CLM60672","lessthan100K"
"CLM52601","lessthan100K"
"CLM56250","lessthan100K"
"CLM58799","lessthan100K"
"CLM61893","lessthan100K"
"CLM65962","100K-lessthan200K"
"CLM54747","lessthan100K"
"CLM59521","lessthan100K"
"CLM59311","lessthan100K"
"CLM64606","lessthan100K"
"CLM64253","200KandAbove"
"CLM66412","lessthan100K"
"CLM67437","lessthan100K"
"CLM68662","100K-lessthan200K"
"CLM61208","lessthan100K"
"CLM60683","100K-lessthan200K"
"CLM54165","100K-lessthan200K"
"CLM59884","100K-lessthan200K"
"CLM55705","lessthan100K"
"CLM51738","100K-lessthan200K"
"CLM69874","200KandAbove"
"CLM60999","200KandAbove"
"CLM53597","200KandAbove"
"CLM56257","200KandAbove"
"CLM61803","lessthan100K"
"CLM54058","200KandAbove"
"CLM52785","lessthan100K"
"CLM58941","lessthan100K"
"CLM57591","100K-lessthan200K"
"CLM66651","100K-lessthan200K"
"CLM55819","200KandAbove"
"CLM51429","200KandAbove"
"CLM66972","100K-lessthan200K"
"CLM57197","100K-lessthan200K"
"CLM62700","lessthan100K"
"CLM61119","lessthan100K"
"CLM57971","100K-lessthan200K"
"CLM54442","lessthan100K"
"CLM58942","lessthan100K"
"CLM62678","200KandAbove"
"CLM60642","lessthan100K"
"CLM63211","lessthan100K"
"CLM64501","lessthan100K"
"CLM60011","lessthan100K"
"CLM58116","lessthan100K"
"CLM51127","200KandAbove"
"CLM51069","100K-lessthan200K"
"CLM69412","lessthan100K"
"CLM52997","lessthan100K"
"CLM58747","lessthan100K"
"CLM64283","200KandAbove"
"CLM64738","100K-lessthan200K"
"CLM67132","lessthan100K"
"CLM62245","200KandAbove"
"CLM64989","200KandAbove"
"CLM66672","200KandAbove"
"CLM62334","lessthan100K"
"CLM65671","lessthan100K"
"CLM51423","100K-lessthan200K"
"CLM58711","100K-lessthan200K"
"CLM67179","200KandAbove"
"CLM62971","200KandAbove"
"CLM68094","lessthan100K"
"CLM54185","100K-lessthan200K"
"CLM56839","lessthan100K"
"CLM65869","lessthan100K"
"CLM69282","lessthan100K"
"CLM56960","200KandAbove"
"CLM51023","lessthan100K"
"CLM69339","lessthan100K"
"CLM53742","100K-lessthan200K"
"CLM51913","100K-lessthan200K"
"CLM62040","100K-lessthan200K"
"CLM56938","200KandAbove"
"CLM60756","200KandAbove"
"CLM65698","100K-lessthan200K"
"CLM52274","lessthan100K"
"CLM63841","lessthan100K"
"CLM68526","100K-lessthan200K"
"CLM56132","100K-lessthan200K"
"CLM55608","200KandAbove"
"CLM70097","lessthan100K"
"CLM52324","lessthan100K"
"CLM61296","lessthan100K"
"CLM60047","lessthan100K"
"CLM60129","lessthan100K"
"CLM67405","100K-lessthan200K"
"CLM51678","200KandAbove"
"CLM54762","200KandAbove"
"CLM60486","lessthan100K"
"CLM55364","lessthan100K"
"CLM61624","lessthan100K"
"CLM59903","lessthan100K"
"CLM61510","200KandAbove"
"CLM53661","lessthan100K"
"CLM53690","lessthan100K"
"CLM58610","100K-lessthan200K"
"CLM63605","lessthan100K"
"CLM63059","lessthan100K"
"CLM67903","100K-lessthan200K"
"CLM66004","200KandAbove"
"CLM63471","100K-lessthan200K"
"CLM65899","100K-lessthan200K"
"CLM53363","100K-lessthan200K"
"CLM55627","100K-lessthan200K"
"CLM57117","lessthan100K"
"CLM58513","lessthan100K"
"CLM62720","200KandAbove"
"CLM65915","lessthan100K"
"CLM55774","100K-lessthan200K"
"CLM66113","lessthan100K"
"CLM51286","lessthan100K"
"CLM63068","lessthan100K"
"CLM65968","100K-lessthan200K"
"CLM59507","lessthan100K"
"CLM54751","200KandAbove"
"CLM51347","200KandAbove"
"CLM56220","lessthan100K"
"CLM67873","100K-lessthan200K"
"CLM68211","lessthan100K"
"CLM61000","lessthan100K"
"CLM55045","lessthan100K"
"CLM60021","lessthan100K"
"CLM65765","lessthan100K"
"CLM69941","200KandAbove"
"CLM52912","100K-lessthan200K"
"CLM56170","lessthan100K"
"CLM57661","lessthan100K"
"CLM55777","lessthan100K"
"CLM59672","100K-lessthan200K"
"CLM57740","100K-lessthan200K"
"CLM53234","100K-lessthan200K"
"CLM51866","100K-lessthan200K"
"CLM55841","200KandAbove"
"CLM68841","100K-lessthan200K"
"CLM59997","100K-lessthan200K"
"CLM59800","100K-lessthan200K"
"CLM64790","100K-lessthan200K"
"CLM63294","lessthan100K"
"CLM51910","100K-lessthan200K"
"CLM63799","lessthan100K"
"CLM70007","lessthan100K"
"CLM67277","lessthan100K"
"CLM65273","lessthan100K"
"CLM53563","100K-lessthan200K"
"CLM56431","200KandAbove"
"CLM53321","lessthan100K"
"CLM61858","100K-lessthan200K"
"CLM61338","100K-lessthan200K"
"CLM63675","200KandAbove"
"CLM56729","200KandAbove"
"CLM62144","200KandAbove"
"CLM69236","200KandAbove"
"CLM64675","lessthan100K"
"CLM52396","lessthan100K"
"CLM59301","lessthan100K"
"CLM51985","100K-lessthan200K"
"CLM57247","100K-lessthan200K"
"CLM69510","200KandAbove"
"CLM51076","100K-lessthan200K"
"CLM65197","200KandAbove"
"CLM59515","200KandAbove"
"CLM64257","100K-lessthan200K"
"CLM63257","100K-lessthan200K"
"CLM61520","lessthan100K"
"CLM63942","lessthan100K"
"CLM63084","lessthan100K"
"CLM56320","100K-lessthan200K"
"CLM52788","200KandAbove"
"CLM68693","200KandAbove"
"CLM64536","200KandAbove"
"CLM62263","200KandAbove"
"CLM53205","200KandAbove"
"CLM61114","lessthan100K"
"CLM55829","100K-lessthan200K"
"CLM67510","lessthan100K"
"CLM51169","lessthan100K"
"CLM55341","200KandAbove"
"CLM53390","lessthan100K"
"CLM56994","200KandAbove"
"CLM64346","lessthan100K"
"CLM69220","lessthan100K"
"CLM64138","lessthan100K"
"CLM60267","200KandAbove"
"CLM59010","lessthan100K"
"CLM68428","200KandAbove"
"CLM53208","100K-lessthan200K"
"CLM52381","200KandAbove"
"CLM67326","200KandAbove"
"CLM58795","100K-lessthan200K"
"CLM51778","100K-lessthan200K"
"CLM62888","lessthan100K"
"CLM59604","lessthan100K"
"CLM62345","100K-lessthan200K"
"CLM55972","100K-lessthan200K"
"CLM53888","100K-lessthan200K"
"CLM53098","100K-lessthan200K"
"CLM60319","100K-lessthan200K"
"CLM61059","100K-lessthan200K"
"CLM53582","100K-lessthan200K"
"CLM54116","100K-lessthan200K"
"CLM64984","200KandAbove"
"CLM60678","200KandAbove"
"CLM66799","100K-lessthan200K"
"CLM63359","lessthan100K"
"CLM51240","lessthan100K"
"CLM63718","200KandAbove"
"CLM67359","100K-lessthan200K"
"CLM62591","100K-lessthan200K"
