"PolicyID","PolicyType","PolicyForm","Employment_status","BusinessClass","Perperson_Policylimit","PerOccurrence_PolicyLimit","CombinedSingleLimit","ClaimID","PolicyLimitPerInjury"
"P282075",2,1,"Y",7,0,0,100001,"CLM58075",100001
"P277924",2,1,"N",7,1000000,1000000,1000000,"CLM53924",1000000
"P277663",1,1,"Y",14,0,0,1000000,"CLM53663",1000000
"P279469",2,1,"Y",7,0,500016,500016,"CLM55469",500016
"P283936",1,1,"Y",8,0,1000000,0,"CLM59936",1000000
"P280101",1,1,"N",16,0,1000000,0,"CLM56101",1000000
"P291448",2,1,"Y",8,500000,0,500000,"CLM67448",500000
"P275879",2,1,"Y",26,0,0,500019,"CLM51879",500019
"P283478",2,1,"N",8,500000,500000,0,"CLM59478",500000
"P290317",4,1,"Y",26,0,1000000,0,"CLM66317",1000000
"P277337",1,1,"Y",13,0,0,500000,"CLM53337",500000
"P285753",4,2,"Y",19,0,1000000,0,"CLM61753",1000000
"P278959",1,1,"N",8,0,0,50000000,"CLM54959",50000000
"P277445",2,1,"Y",8,0,0,1000000,"CLM53445",1000000
"P289438",2,1,"N",8,0,0,500000,"CLM65438",500000
"P292154",2,1,"Y",7,0,0,100000,"CLM68154",100000
"P282177",2,1,"Y",26,25000,50000,0,"CLM58177",25000
"P287746",2,1,"Y",14,0,0,1000000,"CLM63746",1000000
"P276818",2,1,"Y",7,0,0,1000000,"CLM52818",1000000
"P282358",3,1,"Y",8,0,1000000,0,"CLM58358",1000000
"P280258",2,1,"N",7,1000000,0,0,"CLM56258",1000000
"P290608",2,1,"Y",9,0,2000000,0,"CLM66608",2000000
"P283593",2,1,"Y",8,0,0,1000000,"CLM59593",1000000
"P290519",3,1,"Y",8,0,0,1000000,"CLM66519",1000000
"P290563",2,1,"Y",14,0,0,1000000,"CLM66563",1000000
"P290216",3,1,"N",8,0,1000000,0,"CLM66216",1000000
"P283425",2,1,"Y",14,1000000,1000000,1000000,"CLM59425",1000000
"P289451",2,1,"Y",26,0,0,1000000,"CLM65451",1000000
"P287051",2,1,"Y",7,0,1000000,0,"CLM63051",1000000
"P288601",2,1,"N",7,0,0,1000000,"CLM64601",1000000
"P275012",2,1,"Y",7,0,0,1000000,"CLM51012",1000000
"P284102",2,1,"N",26,0,0,500000,"CLM60102",500000
"P279215",4,2,"Y",19,0,1000000,0,"CLM55215",1000000
"P282273",1,1,"Y",14,0,300000,0,"CLM58273",300000
"P286733",2,1,"N",10,0,1000000,1000000,"CLM62733",1000000
"P281736",3,1,"N",18,0,1000000,0,"CLM57736",1000000
"P277128",1,1,"N",8,0,250000,0,"CLM53128",250000
"P279664",3,1,"Y",14,0,0,1000000,"CLM55664",1000000
"P287788",5,1,"N",9,0,0,5000000,"CLM63788",5000000
"P282995",2,1,"Y",4,0,0,1000000,"CLM58995",1000000
"P290087",4,1,"Y",22,0,5000000,5000000,"CLM66087",5000000
"P276969",2,1,"Y",26,0,0,100040,"CLM52969",100040
"P283323",1,1,"Y",8,0,0,1000000,"CLM59323",1000000
"P293850",1,1,"Y",6,0,0,1000000,"CLM69850",1000000
"P292090",2,1,"Y",6,0,0,1000000,"CLM68090",1000000
"P291963",2,1,"Y",26,1000000,1000000,1000000,"CLM67963",1000000
"P278350",3,1,"Y",26,0,0,1000000,"CLM54350",1000000
"P277501",2,1,"Y",7,0,0,5000000,"CLM53501",5000000
"P287496",2,1,"N",26,0,1000000,0,"CLM63496",1000000
"P281572",4,2,"Y",19,0,1000000,3000000,"CLM57572",1000000
"P287564",2,1,"Y",7,0,1000016,1000016,"CLM63564",1000016
"P281129",4,2,"N",19,0,0,1000000,"CLM57129",1000000
"P278591",2,1,"Y",9,100000,0,0,"CLM54591",100000
"P289963",2,1,"Y",26,0,0,1000000,"CLM65963",1000000
"P276791",1,1,"Y",1,0,0,1000000,"CLM52791",1000000
"P283928",2,1,"Y",8,0,0,1000000,"CLM59928",1000000
"P284783",2,1,"N",26,0,0,1000000,"CLM60783",1000000
"P286474",2,1,"Y",6,0,0,3000000,"CLM62474",3000000
"P281365",1,1,"Y",26,0,1000000,1000000,"CLM57365",1000000
"P284343",2,1,"Y",7,0,0,1000000,"CLM60343",1000000
"P293250",2,2,"N",9,1000000,1000000,0,"CLM69250",1000000
"P284233",3,1,"N",26,0,1000000,0,"CLM60233",1000000
"P292022",4,2,"N",19,0,1000000,0,"CLM68022",1000000
"P292482",5,1,"Y",15,0,2000000,0,"CLM68482",2000000
"P286637",2,1,"Y",11,0,0,100000,"CLM62637",100000
"P282851",3,1,"Y",1,0,1000000,0,"CLM58851",1000000
"P277812",2,1,"Y",8,25000,50000,0,"CLM53812",25000
"P292877",2,1,"Y",6,0,0,1000000,"CLM68877",1000000
"P280758",4,2,"N",19,0,500000,0,"CLM56758",500000
"P276161",2,1,"Y",7,0,0,1000001,"CLM52161",1000001
"P293112",2,1,"Y",26,0,0,1000025,"CLM69112",1000025
"P288770",1,1,"Y",1,0,0,500000,"CLM64770",500000
"P277719",2,1,"N",15,0,0,1000000,"CLM53719",1000000
"P285496",2,1,"Y",8,0,0,1000000,"CLM61496",1000000
"P293229",2,1,"Y",7,0,0,1000000,"CLM69229",1000000
"P286186",2,1,"N",14,0,0,1000025,"CLM62186",1000025
"P282728",2,1,"Y",7,0,1000000,0,"CLM58728",1000000
"P287377",3,1,"Y",8,0,1000000,1000000,"CLM63377",1000000
"P281110",1,1,"Y",14,0,1000000,0,"CLM57110",1000000
"P280878",2,1,"N",7,0,0,55000,"CLM56878",55000
"P279198",2,1,"Y",4,0,0,500000,"CLM55198",500000
"P282057",1,1,"Y",6,0,0,1000000,"CLM58057",1000000
"P293797",1,1,"N",6,0,1000000,0,"CLM69797",1000000
"P277945",2,1,"Y",8,1000000,0,0,"CLM53945",1000000
"P276739",2,1,"N",14,0,0,1000025,"CLM52739",1000025
"P277710",4,1,"Y",22,0,5000000,5000000,"CLM53710",5000000
"P288175",4,2,"Y",19,0,1000000,0,"CLM64175",1000000
"P286824",4,2,"N",19,0,2000000,0,"CLM62824",2000000
"P292019",2,1,"N",7,0,0,1000025,"CLM68019",1000025
"P287849",3,1,"Y",17,0,1000000,0,"CLM63849",1000000
"P289071",2,1,"N",8,1000000,0,0,"CLM65071",1000000
"P284948",1,1,"Y",14,0,1000000,1000000,"CLM60948",1000000
"P287595",4,2,"Y",19,0,200000,0,"CLM63595",200000
"P290686",2,1,"Y",26,100000,300000,0,"CLM66686",100000
"P290007",2,1,"Y",8,0,0,1000000,"CLM66007",1000000
"P293700",2,1,"Y",26,0,0,1000000,"CLM69700",1000000
"P283387",2,1,"N",6,0,0,1000000,"CLM59387",1000000
"P280949",2,2,"Y",7,0,0,1000000,"CLM56949",1000000
"P282814",1,1,"N",14,0,0,1000000,"CLM58814",1000000
"P275200",1,1,"Y",6,0,0,1000000,"CLM51200",1000000
"P278508",2,1,"Y",14,0,0,300000,"CLM54508",300000
"P291079",2,1,"Y",7,0,0,1000008,"CLM67079",1000008
"P279411",3,1,"Y",16,0,1000000,0,"CLM55411",1000000
"P279562",4,2,"Y",19,0,1000000,0,"CLM55562",1000000
"P276463",2,1,"N",8,0,0,1000000,"CLM52463",1000000
"P279688",2,1,"Y",7,0,0,2000000,"CLM55688",2000000
"P288965",2,1,"Y",6,1000000,1000000,1000000,"CLM64965",1000000
"P291164",2,1,"Y",15,0,1000000,0,"CLM67164",1000000
"P284489",2,1,"Y",8,100000,300000,0,"CLM60489",100000
"P282398",1,1,"Y",9,0,0,2000000,"CLM58398",2000000
"P279700",2,1,"N",6,0,0,1000000,"CLM55700",1000000
"P277119",2,1,"Y",7,0,1000000,0,"CLM53119",1000000
"P282437",2,1,"Y",10,0,1000000,0,"CLM58437",1000000
"P285906",2,1,"N",14,1000000,0,1000000,"CLM61906",1000000
"P279136",4,1,"N",23,0,1000000,0,"CLM55136",1000000
"P283480",2,1,"Y",7,0,0,10000000,"CLM59480",10000000
"P279156",3,1,"Y",17,0,1000000,0,"CLM55156",1000000
"P284576",2,1,"Y",14,0,1000000,0,"CLM60576",1000000
"P281747",4,1,"Y",19,0,3000000,0,"CLM57747",3000000
"P287390",2,1,"Y",7,0,0,1000000,"CLM63390",1000000
"P282143",4,2,"N",19,0,1000000,0,"CLM58143",1000000
"P281775",2,1,"N",14,0,0,500000,"CLM57775",500000
"P285172",1,1,"N",26,0,1000000,0,"CLM61172",1000000
"P289109",1,1,"Y",8,0,1000000,0,"CLM65109",1000000
"P279214",4,2,"Y",19,0,1000000,0,"CLM55214",1000000
"P282865",2,1,"N",7,0,0,1000000,"CLM58865",1000000
"P280063",2,1,"N",7,0,0,100005,"CLM56063",100005
"P287003",2,1,"Y",8,0,500000,0,"CLM63003",500000
"P278503",1,1,"N",26,0,500000,0,"CLM54503",500000
"P291454",3,1,"N",14,0,0,1000000,"CLM67454",1000000
"P289223",1,1,"Y",26,0,1000000,0,"CLM65223",1000000
"P287731",1,1,"Y",14,0,1000000,0,"CLM63731",1000000
"P286773",4,2,"N",19,0,500000,0,"CLM62773",500000
"P282091",2,1,"N",14,0,0,1000000,"CLM58091",1000000
"P285092",2,1,"N",14,0,0,1000000,"CLM61092",1000000
"P291659",2,1,"N",7,0,1000016,1000016,"CLM67659",1000016
"P286079",2,1,"N",8,0,0,250000,"CLM62079",250000
"P290992",3,1,"Y",14,0,1000000,0,"CLM66992",1000000
"P280950",2,1,"N",7,0,500016,500016,"CLM56950",500016
"P288487",1,1,"Y",26,0,1000000,1000000,"CLM64487",1000000
"P280046",1,1,"N",6,0,0,1000000,"CLM56046",1000000
"P286316",2,1,"Y",7,0,0,1000069,"CLM62316",1000069
"P284163",4,1,"Y",22,0,5000000,5000000,"CLM60163",5000000
"P294040",2,1,"N",1,0,1000000,1000000,"CLM70040",1000000
"P285748",1,1,"Y",26,0,300000,0,"CLM61748",300000
"P292383",2,1,"N",7,0,0,5000000,"CLM68383",5000000
"P292167",4,1,"N",22,0,5000000,5000000,"CLM68167",5000000
"P280219",4,2,"Y",19,0,1000000,0,"CLM56219",1000000
"P281119",2,1,"Y",7,0,0,1000040,"CLM57119",1000040
"P293758",2,1,"N",7,0,0,55025,"CLM69758",55025
"P286799",2,1,"Y",14,0,0,1000000,"CLM62799",1000000
"P292837",1,1,"N",8,0,1000000,0,"CLM68837",1000000
"P283878",2,1,"Y",26,1000000,0,0,"CLM59878",1000000
"P282741",2,1,"N",23,0,0,500000,"CLM58741",500000
"P287543",2,1,"Y",15,0,0,1000000,"CLM63543",1000000
"P277899",2,1,"N",7,0,0,1000000,"CLM53899",1000000
"P285899",2,1,"Y",6,0,0,1000000,"CLM61899",1000000
"P279542",2,1,"Y",6,0,0,1000000,"CLM55542",1000000
"P293306",2,1,"Y",7,0,0,1000005,"CLM69306",1000005
"P286439",4,2,"Y",19,0,500000,0,"CLM62439",500000
"P284796",2,1,"Y",14,0,0,1000000,"CLM60796",1000000
"P282657",2,1,"Y",8,0,0,1000000,"CLM58657",1000000
"P291741",2,1,"Y",14,0,0,500000,"CLM67741",500000
"P281924",2,1,"N",7,0,0,750000,"CLM57924",750000
"P280482",4,1,"N",19,0,200000,0,"CLM56482",200000
"P278245",3,1,"Y",8,0,0,1000000,"CLM54245",1000000
"P278274",3,1,"N",14,0,1000000,0,"CLM54274",1000000
"P284166",2,1,"Y",15,0,0,1000025,"CLM60166",1000025
"P279810",2,1,"N",26,300000,0,0,"CLM55810",300000
"P279112",2,1,"N",14,0,0,1000000,"CLM55112",1000000
"P287820",4,1,"N",19,0,100000,300000,"CLM63820",100000
"P275907",2,1,"N",8,0,100000,0,"CLM51907",100000
"P288322",4,2,"N",19,0,200000,0,"CLM64322",200000
"P281689",1,1,"N",9,0,0,500000,"CLM57689",500000
"P282773",1,1,"Y",8,0,250000,0,"CLM58773",250000
"P290603",4,2,"N",19,0,200000,0,"CLM66603",200000
"P292462",2,1,"Y",7,0,0,500000,"CLM68462",500000
"P280369",2,1,"Y",7,0,2000000,0,"CLM56369",2000000
"P293263",2,1,"Y",7,0,1000000,0,"CLM69263",1000000
"P288841",2,2,"Y",7,0,0,1000000,"CLM64841",1000000
"P288042",2,1,"N",7,0,5000000,0,"CLM64042",5000000
"P276004",2,1,"Y",8,0,0,55000,"CLM52004",55000
"P282509",2,1,"Y",1,0,1000000,0,"CLM58509",1000000
"P284078",2,1,"Y",7,50000,50000,0,"CLM60078",50000
"P285643",2,1,"Y",7,0,0,5000000,"CLM61643",5000000
"P288264",1,1,"N",7,0,2000000,0,"CLM64264",2000000
"P292393",2,1,"Y",6,0,0,1000000,"CLM68393",1000000
"P286745",2,1,"N",8,0,1000000,0,"CLM62745",1000000
"P283137",2,1,"N",26,0,0,1000000,"CLM59137",1000000
"P285295",2,1,"Y",8,500000,0,0,"CLM61295",500000
"P276111",1,1,"Y",8,0,5000000,0,"CLM52111",5000000
"P279954",2,1,"Y",26,0,0,500000,"CLM55954",500000
"P282542",2,1,"Y",8,0,1000000,0,"CLM58542",1000000
"P278755",1,1,"Y",26,0,1000000,0,"CLM54755",1000000
"P290795",2,1,"Y",7,0,0,1000000,"CLM66795",1000000
"P277903",2,1,"N",26,0,0,750001,"CLM53903",750001
"P290253",2,1,"N",7,0,0,4000000,"CLM66253",4000000
"P285381",3,1,"Y",8,0,1000000,1000000,"CLM61381",1000000
"P287573",4,1,"Y",19,0,200000,0,"CLM63573",200000
"P278260",3,1,"N",26,0,1000000,0,"CLM54260",1000000
"P287016",2,1,"Y",7,0,0,2000000,"CLM63016",2000000
"P280919",2,1,"Y",8,0,100000,0,"CLM56919",100000
"P288751",2,1,"Y",26,25000,50000,0,"CLM64751",25000
"P282571",2,1,"Y",6,0,0,1000000,"CLM58571",1000000
"P293395",2,1,"Y",8,0,0,1000000,"CLM69395",1000000
"P293357",4,1,"Y",19,0,200000,0,"CLM69357",200000
"P288789",1,1,"N",13,0,500000,0,"CLM64789",500000
"P279881",2,1,"Y",26,0,0,1000000,"CLM55881",1000000
"P279208",2,1,"Y",8,0,0,1000000,"CLM55208",1000000
"P286251",2,1,"Y",26,0,0,1000000,"CLM62251",1000000
"P280075",2,1,"N",8,0,1000000,0,"CLM56075",1000000
"P285074",2,2,"Y",8,0,0,1000000,"CLM61074",1000000
"P289896",4,2,"N",19,0,1000000,0,"CLM65896",1000000
"P278188",1,1,"Y",14,0,0,1000000,"CLM54188",1000000
"P282670",2,1,"N",7,1000000,1000000,1000000,"CLM58670",1000000
"P283944",2,1,"Y",8,0,0,300000,"CLM59944",300000
"P291463",3,1,"N",18,0,1000000,0,"CLM67463",1000000
"P292555",2,1,"N",7,0,0,1000000,"CLM68555",1000000
"P291725",2,1,"N",9,0,0,1000000,"CLM67725",1000000
"P287784",4,2,"N",19,0,6000000,0,"CLM63784",6000000
"P293016",3,1,"N",8,0,1000000,0,"CLM69016",1000000
"P284792",1,2,"Y",8,0,0,5000000,"CLM60792",5000000
"P285930",2,1,"Y",6,1000000,0,0,"CLM61930",1000000
"P281376",2,1,"N",8,0,1000000,1000000,"CLM57376",1000000
"P281584",3,1,"Y",15,0,1000000,0,"CLM57584",1000000
"P275380",2,1,"Y",8,0,0,500000,"CLM51380",500000
"P284531",4,2,"Y",19,0,1000000,0,"CLM60531",1000000
"P291509",2,1,"N",8,0,0,1000000,"CLM67509",1000000
"P275120",1,1,"N",8,0,0,1000000,"CLM51120",1000000
"P276366",2,1,"Y",7,0,0,1000000,"CLM52366",1000000
"P278112",3,1,"Y",26,0,1000000,0,"CLM54112",1000000
"P289598",2,1,"N",26,0,0,100000,"CLM65598",100000
"P288931",1,1,"Y",6,0,5000000,0,"CLM64931",5000000
"P293415",1,1,"Y",1,0,0,500000,"CLM69415",500000
"P283838",1,1,"Y",3,0,1000000,0,"CLM59838",1000000
"P276410",4,2,"N",20,0,1000000,3000000,"CLM52410",1000000
"P287292",2,1,"Y",7,0,0,1000000,"CLM63292",1000000
"P289371",2,1,"N",7,0,0,1000000,"CLM65371",1000000
"P277598",2,1,"Y",14,0,1000000,0,"CLM53598",1000000
"P282512",1,1,"Y",14,0,1000000,1000000,"CLM58512",1000000
"P279262",4,1,"Y",19,0,1000000,0,"CLM55262",1000000
"P276098",2,1,"N",15,0,0,1000000,"CLM52098",1000000
"P282498",1,1,"N",26,0,1000000,0,"CLM58498",1000000
"P276230",2,1,"Y",8,0,0,500000,"CLM52230",500000
"P279278",2,1,"Y",6,0,0,500000,"CLM55278",500000
"P276035",2,1,"Y",7,0,0,1000000,"CLM52035",1000000
"P287692",1,1,"Y",8,0,1000000,0,"CLM63692",1000000
"P280638",3,1,"N",23,0,0,1000000,"CLM56638",1000000
"P276907",1,1,"Y",8,0,0,5000000,"CLM52907",5000000
"P276362",1,1,"N",6,0,1000000,0,"CLM52362",1000000
"P291667",2,1,"N",7,0,750016,750016,"CLM67667",750016
"P289278",3,1,"Y",8,0,0,1000000,"CLM65278",1000000
"P290457",4,1,"N",20,0,1000000,0,"CLM66457",1000000
"P293589",2,1,"Y",26,0,0,2000000,"CLM69589",2000000
"P276961",1,1,"Y",16,0,1000000,0,"CLM52961",1000000
"P276875",2,1,"Y",6,0,0,1000000,"CLM52875",1000000
"P290118",1,1,"Y",8,0,0,1000000,"CLM66118",1000000
"P289847",2,1,"N",7,0,0,1000000,"CLM65847",1000000
"P275179",1,1,"Y",14,0,0,1000000,"CLM51179",1000000
"P289741",1,1,"Y",26,0,1000000,0,"CLM65741",1000000
"P288801",4,2,"Y",19,0,1000000,0,"CLM64801",1000000
"P286922",2,1,"Y",7,0,0,2000000,"CLM62922",2000000
"P284098",2,1,"Y",7,0,0,1000000,"CLM60098",1000000
"P277964",2,1,"Y",15,1000000,0,0,"CLM53964",1000000
"P275156",3,1,"Y",6,0,1000000,0,"CLM51156",1000000
"P283559",2,1,"Y",7,1000000,0,0,"CLM59559",1000000
"P284312",4,1,"N",19,0,1000000,0,"CLM60312",1000000
"P282369",2,1,"Y",7,0,0,1000050,"CLM58369",1000050
"P283788",1,1,"Y",1,0,0,1000000,"CLM59788",1000000
"P288489",4,1,"N",22,0,5000000,5000000,"CLM64489",5000000
"P276046",2,1,"Y",26,0,0,500019,"CLM52046",500019
"P281709",2,1,"Y",15,0,0,1000000,"CLM57709",1000000
"P290180",2,1,"N",7,0,0,10000000,"CLM66180",10000000
"P290801",2,1,"Y",7,1000000,0,0,"CLM66801",1000000
"P279495",2,1,"Y",7,1000010,0,0,"CLM55495",1000010
"P281693",2,1,"Y",26,0,0,1000001,"CLM57693",1000001
"P291199",4,1,"Y",19,0,400000,1200000,"CLM67199",400000
"P291139",1,1,"Y",14,0,0,1000000,"CLM67139",1000000
"P280594",2,1,"Y",7,0,0,1000052,"CLM56594",1000052
"P277780",2,1,"Y",14,0,0,1000025,"CLM53780",1000025
"P288306",2,1,"N",7,0,0,1000000,"CLM64306",1000000
"P276962",2,1,"Y",7,1000000,0,0,"CLM52962",1000000
"P275638",2,1,"N",10,0,0,500000,"CLM51638",500000
"P293886",2,1,"N",7,0,0,1000025,"CLM69886",1000025
"P275659",2,1,"N",14,0,0,100000,"CLM51659",100000
"P281394",2,1,"Y",11,0,0,100072,"CLM57394",100072
"P292290",2,1,"Y",9,250000,500000,500000,"CLM68290",250000
"P286662",2,1,"N",7,0,0,1000000,"CLM62662",1000000
"P280409",1,1,"N",26,0,0,1000000,"CLM56409",1000000
"P288938",4,2,"Y",13,0,0,1000000,"CLM64938",1000000
"P290756",1,1,"N",1,0,300000,0,"CLM66756",300000
"P280937",2,1,"Y",6,0,0,1000000,"CLM56937",1000000
"P284304",2,1,"N",8,0,0,1000000,"CLM60304",1000000
"P288172",4,2,"N",19,0,1000000,0,"CLM64172",1000000
"P287115",2,1,"Y",26,25000,50000,0,"CLM63115",25000
"P287161",1,1,"N",6,0,0,1000000,"CLM63161",1000000
"P293466",2,1,"N",7,500000,0,500000,"CLM69466",500000
"P282832",2,1,"Y",7,1000000,1000000,1000000,"CLM58832",1000000
"P277255",2,1,"Y",26,0,0,500001,"CLM53255",500001
"P284932",1,1,"Y",8,0,2000000,0,"CLM60932",2000000
"P279250",2,1,"Y",7,0,0,1000000,"CLM55250",1000000
"P284183",2,1,"N",6,0,0,1000000,"CLM60183",1000000
"P281989",2,1,"N",8,1000000,0,0,"CLM57989",1000000
"P293563",2,1,"Y",26,0,300000,0,"CLM69563",300000
"P282330",2,1,"Y",26,0,0,1000000,"CLM58330",1000000
"P279327",2,1,"Y",16,0,0,1000000,"CLM55327",1000000
"P286765",2,1,"N",7,1000000,0,0,"CLM62765",1000000
"P277577",2,1,"Y",8,0,0,1000000,"CLM53577",1000000
"P293259",2,1,"Y",7,0,0,1000000,"CLM69259",1000000
"P284720",2,1,"Y",26,55000,0,55000,"CLM60720",55000
"P278078",2,1,"Y",7,0,1000050,0,"CLM54078",1000050
"P286735",2,1,"Y",14,0,0,1000000,"CLM62735",1000000
"P293603",3,1,"Y",26,0,0,1000000,"CLM69603",1000000
"P287618",1,1,"Y",8,0,1000000,0,"CLM63618",1000000
"P282904",2,1,"N",7,1000000,1000000,1000000,"CLM58904",1000000
"P281100",1,1,"N",14,0,1000000,0,"CLM57100",1000000
"P290757",1,1,"N",1,0,300000,0,"CLM66757",300000
"P277713",4,1,"N",19,0,0,2000000,"CLM53713",2000000
"P278637",2,1,"Y",7,100000,0,0,"CLM54637",100000
"P291914",2,1,"Y",7,0,0,1000000,"CLM67914",1000000
"P280812",4,1,"Y",22,0,5000000,5000000,"CLM56812",5000000
"P281852",3,1,"Y",8,0,1000000,0,"CLM57852",1000000
"P289784",2,1,"N",14,0,1000000,0,"CLM65784",1000000
"P278647",1,1,"Y",14,0,0,1000000,"CLM54647",1000000
"P275335",1,1,"N",8,0,0,1000000,"CLM51335",1000000
"P282667",2,1,"Y",7,0,0,1000000,"CLM58667",1000000
"P284110",1,1,"Y",8,0,1000000,0,"CLM60110",1000000
"P282954",2,1,"Y",7,0,1000000,0,"CLM58954",1000000
"P281463",4,2,"N",19,0,1000000,2000000,"CLM57463",1000000
"P291335",2,1,"Y",26,0,0,100000,"CLM67335",100000
"P283579",1,1,"Y",26,0,1000000,0,"CLM59579",1000000
"P285061",5,1,"N",23,0,1000000,0,"CLM61061",1000000
"P293167",2,1,"Y",7,500000,500000,50000,"CLM69167",500000
"P289599",4,1,"Y",19,0,500000,0,"CLM65599",500000
"P278937",1,1,"N",8,0,0,50000000,"CLM54937",50000000
"P280820",2,1,"N",7,0,0,1000025,"CLM56820",1000025
"P293304",2,1,"Y",7,0,1000000,0,"CLM69304",1000000
"P286022",2,1,"N",7,0,0,1000000,"CLM62022",1000000
"P289336",2,1,"Y",8,0,0,1000000,"CLM65336",1000000
"P282023",2,1,"N",6,0,2500000,0,"CLM58023",2500000
"P289492",2,1,"Y",8,25000,50000,0,"CLM65492",25000
"P285130",2,1,"Y",14,0,0,1000000,"CLM61130",1000000
"P292218",1,1,"Y",12,0,1000000,0,"CLM68218",1000000
"P278491",2,1,"N",6,0,0,2000000,"CLM54491",2000000
"P280316",1,1,"Y",26,0,1000000,0,"CLM56316",1000000
"P276789",3,1,"N",8,0,1000000,0,"CLM52789",1000000
"P278965",1,1,"Y",8,0,0,50000000,"CLM54965",50000000
"P293402",1,1,"Y",1,0,500000,0,"CLM69402",500000
"P280580",1,1,"Y",14,0,1000000,0,"CLM56580",1000000
"P288671",2,1,"Y",26,50000,100000,0,"CLM64671",50000
"P289795",2,1,"Y",7,0,0,1000000,"CLM65795",1000000
"P276985",3,1,"Y",15,0,1000000,0,"CLM52985",1000000
"P279512",1,1,"N",9,0,0,2000000,"CLM55512",2000000
"P280094",4,1,"N",22,0,5000000,5000000,"CLM56094",5000000
"P276903",2,1,"Y",7,0,0,1000000,"CLM52903",1000000
"P277220",2,1,"N",7,0,0,1000000,"CLM53220",1000000
"P293660",2,1,"N",13,0,0,1000000,"CLM69660",1000000
"P293561",2,1,"Y",8,0,0,1000000,"CLM69561",1000000
"P277580",1,1,"Y",6,0,5000000,0,"CLM53580",5000000
"P292039",2,1,"Y",14,1000000,1000000,1000000,"CLM68039",1000000
"P285847",2,1,"Y",26,0,0,750001,"CLM61847",750001
"P282442",2,1,"N",15,0,0,1000000,"CLM58442",1000000
"P283465",2,1,"Y",8,0,0,1000000,"CLM59465",1000000
"P288295",2,1,"Y",26,0,0,1000000,"CLM64295",1000000
"P276553",2,1,"Y",7,0,0,1000000,"CLM52553",1000000
"P281385",1,1,"Y",1,0,300000,0,"CLM57385",300000
"P287809",3,1,"Y",14,0,1000000,0,"CLM63809",1000000
"P280963",2,1,"N",7,0,0,1000000,"CLM56963",1000000
"P290644",1,1,"Y",14,0,1000000,0,"CLM66644",1000000
